Id,Category
383,riconsiderare+V
384,autoreplicare+V
385,schiveere+V
386,riluttare+V
387,accantonare+V
388,sdottoreggiare+V
389,resusciteere+V
390,discuteere+V
391,incerare+V
392,ardire+V
393,sciupare+V
394,ricondurere+V
395,sottrarre+V
396,torrefare+V
397,riavvolgere+V
398,romanzo+N
399,riabbatteere+V
400,confederale+A
401,dequalificare+V
402,spiumare+V
403,spionco+N
404,sollazzeere+V
405,generare+A
406,rimontare+V
407,astrologare+V
408,teatrodanzo+N
409,assaporare+V
410,buttare+V
411,caricare+V
412,ondeggiare+V
413,equivalere+A
414,volo+N
415,demonetizzeere+V
416,primeggare+V
417,svincoleere+V
418,figurare+V
419,minare+V
420,predetermine+V
421,scarrucoleere+V
422,lastra+N
423,immagazzinare+V
424,ereditare+V
425,stilizzeere+V
426,guadabile+A
427,imbandieere+V
428,cambieere+V
429,leggicchiare+V
430,contabile+A
431,sdottoreggiare+V
432,intercedere+V
433,controfirmeere+V
434,borrare+V
435,sghignazzare+V
436,aureolare+V
437,posare+V
438,serssere+V
439,lambiccare+V
440,abbiglieere+V
441,scagliorre+V
442,regolamentare+V
443,svilire+V
444,scempiare+A
445,appurare+V
446,volassessere+V
447,canticchiare+V
448,accessoriato+A
449,addormenteere+V
450,indispettire+V
451,verbalizzeere+V
452,storpiare+V
453,clerical-calcistico+A
454,siffatto+A
455,rafforzare+V
456,ripubblicare+V
457,messo+N
458,cristallizzare+V
459,scaffalare+V
460,invocassessere+V
461,giudicatore+A
462,derapare+V
463,consistere+V
464,desisterrre+V
465,giocondo+A
466,barcamerre+V
467,imbrattare+V
468,impataccare+V
469,istilleere+V
470,autocompatere+V
471,inguainare+V
472,riallungare+V
473,fantino+N
474,maxi-inchiesta+N
475,mozzassessere+V
476,dissecare+V
477,pettinare+V
478,copare+V
479,tostassessere+V
480,poppeere+V
481,informare+V
482,fonde+V
483,contagiare+V
484,spingrre+V
485,disabituare+A
486,scempiare+V
487,dardeggeere+V
488,sputare+V
489,scalcagnato+A
490,idrogerre+V
491,immergere+V
492,rinunciare+V
493,mugoleere+V
494,kafkiano+A
495,svezzeere+V
496,politicizzare+V
497,orare+A
498,miticizzeere+V
499,invelenire+V
500,diminuiere+V
501,offrire+V
502,sopraffacrre+V
503,ottantesimo+A
504,ingegnare+V
505,assicurare+V
506,inchiodare+V
507,villeggiare+V
508,sfociare+V
509,sputare+V
510,sfracelleere+V
511,partitocrazio+N
512,preveniere+A
513,schioccare+V
514,tifeere+V
515,sbellicare+V
516,ancheggiare+V
517,cauterizzare+V
518,decriminalizzare+V
519,ronzare+V
520,impaniare+V
521,stravolgrre+V
522,immigrare+V
523,congelerrre+V
524,disputare+V
525,bevicchierrre+V
526,vescovare+V
527,autorizzare+V
528,calderone+N
529,tremare+V
530,autoemenere+V
531,amnistiare+V
532,involgere+V
533,addolorare+V
534,reincarnare+V
535,inscrivere+V
536,ingessare+V
537,eccedeere+V
538,autocontrollare+V
539,scarrozzeere+V
540,lp+N
541,assecondare+V
542,manifestare+A
543,profondeere+V
544,interstellare+V
545,sbellicare+V
546,ricomparire+V
547,ghermere+V
548,riaffacciare+V
549,sigilleere+V
550,violinistico+A
551,grarre+A
552,creare+V
553,incordare+V
554,ricopieere+V
555,autodetermirre+V
556,impensieriere+V
557,dispersessere+V
558,mammana+N
559,disinfiammare+V
560,disturbeere+V
561,avverare+V
562,ballo+N
563,sciupeere+V
564,disperdrre+V
565,commentare+V
566,calendarizzare+V
567,strumentalizzassessere+V
568,armeggerrre+V
569,alluminare+V
570,deducare+V
571,secondare+V
572,brunere+V
573,posticipare+V
574,esecrando+A
575,naufragare+V
576,debbiare+V
577,compatissessere+V
578,gelare+V
579,truccare+V
580,prendeere+V
581,basculare+V
582,impellicciare+V
583,allettare+A
584,arcaicizzare+V
585,interstellare+V
586,inzuccherare+V
587,cavare+V
588,indonesiano+A
589,dilungare+V
590,rincoglioniere+V
591,colo+N
592,confirre+V
593,indugiare+V
594,involtare+V
595,preordinare+V
596,asfissiare+V
597,vittimizzare+V
598,risedere+V
599,impiastricrre+V
600,handicappare+V
601,sbandierare+V
602,parlamento+N
603,gracidare+V
604,pimenteere+V
605,pregiudicare+V
606,peseere+V
607,ingegrre+V
608,unanimo+A
609,abbigliare+V
610,gretto+A
611,tonare+V
612,cresrre+V
613,accellare+V
614,paramento+N
615,fruizione+N
616,insospettire+V
617,umanizzeere+V
618,stornellare+V
619,braccare+V
620,tramortire+V
621,strapagare+V
622,marmorizzare+V
623,raddensare+V
624,dattilografeere+V
625,rimpalleere+V
626,apporre+V
627,svegliere+V
628,spanrre+V
629,defluere+V
630,petrolifero+A
631,bestemmieere+V
632,spagliare+V
633,affaticare+V
634,rinzaffare+V
635,facoltativo+A
636,allontanare+V
637,spiumare+V
638,inscrivere+V
639,smarcare+V
640,ammalato+A
641,ripeteere+V
642,appassire+V
643,spilletto+N
644,castrato+N
645,distrarre+V
646,sgranchire+V
647,inquinare+V
648,presentare+V
649,utilizzare+V
650,combatteere+V
651,appoggiare+V
652,esplicere+V
653,illanguidiere+V
654,infilzare+V
655,gentiliano+A
656,gracidare+V
657,stravaccare+V
658,volare+V
659,afferssere+V
660,sopportare+V
661,contaminare+V
662,spaziare+V
663,smerlare+V
664,zampeere+V
665,sondeere+V
666,ricovereere+V
667,brancicare+V
668,azzittire+V
669,stampigliare+A
670,snoccioleere+V
671,svase+V
672,sfrondare+V
673,finanziario+A
674,accentare+V
675,spericolatezza+N
676,cognomo+N
677,traumatizzare+V
678,arguire+V
679,miticizzeere+V
680,disturbare+V
681,sviliere+V
682,aggranchiere+V
683,lustrare+V
684,ingraziare+V
685,ripetere+V
686,imbarcare+V
687,rappattumare+V
688,tentacoleere+V
689,solleticare+V
690,beatificare+V
691,sterilizzare+V
692,zoologico+A
693,direzionato+A
694,appesere+V
695,nauseare+V
696,disperdrre+V
697,faticare+A
698,esigessessere+V
699,pendolare+V
700,ricresrre+V
701,adire+V
702,deposere+V
703,ancheggiare+V
704,modereere+V
705,accordare+V
706,intabarreere+V
707,rintuzzare+V
708,contaminare+V
709,autointerrogare+V
710,fulminassessere+V
711,antropomorfizzare+V
712,stuzzicassessere+V
713,drago+N
714,crocifiggeere+V
715,facilitare+V
716,prolungare+V
717,sghignazzare+V
718,compungeere+V
719,grattare+V
720,lungaggine+N
721,universalizzare+V
722,sbandiereere+V
723,balenare+V
724,paritetico+A
725,inorgoglissessere+V
726,gemellaggio+N
727,cubeere+V
728,civolista+N
729,fioere+V
730,cauzionare+V
731,rintoccare+V
732,sgombrare+V
733,posticipare+V
734,frutteere+V
735,nazionalizzare+V
736,traspirare+V
737,svincolare+V
738,sventaglie+V
739,armamentare+V
740,uniformare+V
741,schiodare+V
742,cogestire+V
743,sfibrare+V
744,medicare+V
745,emulare+V
746,sbocciare+V
747,infiocchettare+V
748,discernare+V
749,razionalizzare+V
750,squartare+V
751,deburocratizzare+V
752,resusciteere+V
753,panare+V
754,storicizzare+V
755,stimolare+V
756,spenzolare+V
757,quintuplicare+V
758,intingere+V
759,setare+V
760,smisteere+V
761,poteere+V
762,ripiovessessere+V
763,intempestivo+A
764,eternare+V
765,approprieere+V
766,srotole+V
767,divertire+V
768,insinuare+V
769,antropomorfizzeere+V
770,stimolare+V
771,girovagassessere+V
772,misceleere+V
773,lucrare+V
774,saleere+V
775,superpagare+V
776,desinare+V
777,incatramare+V
778,sguinzaglieere+V
779,imposizione+N
780,allerteere+V
781,accavallare+V
782,depositare+V
783,strusciare+V
784,sprigionare+V
785,vagheggeere+V
786,rintanare+V
787,immergere+V
788,choccare+V
789,paraffinare+V
790,politicizzare+V
791,prestabilire+V
792,scocciare+V
793,costeggiare+V
794,fisioterapisto+N
795,obnubilare+V
796,carpissessere+V
797,notiziola+N
798,sgombere+V
799,affossatore+N
800,censere+A
801,espandrre+V
802,stacciare+V
803,tramandare+A
804,deprimeere+V
805,rinazionalizzare+V
806,obbligare+A
807,capponare+V
808,rivendrre+V
809,confederare+V
810,arrugginiere+V
811,ticchetteere+V
812,esonerare+A
813,tramare+V
814,avvizziere+V
815,brutalizzare+V
816,spaziare+V
817,rieducare+V
818,scoppietteere+V
819,tentacolare+V
820,chiare+V
821,sussultare+V
822,molcere+V
823,infruttuoso+A
824,guadeere+V
825,incattivire+V
826,co-produrre+V
827,uniformeere+V
828,saldare+V
829,lesinassessere+V
830,amnistieere+V
831,languire+V
832,vialetto+N
833,truccare+V
834,poeticizzare+V
835,coibenteere+V
836,svaligiare+V
837,rivuola+N
838,costeggiare+V
839,impaperare+V
840,concitare+V
841,imbiancare+V
842,ripagare+V
843,canticchiare+V
844,recensire+V
845,moltiplicare+V
846,collare+V
847,deludeere+V
848,inventare+A
849,colmo+A
850,brandeggiare+V
851,affermare+V
852,corteggiare+V
853,cuocere+V
854,calamere+V
855,dequalificare+V
856,reciprocare+V
857,contaminare+V
858,congiungeere+V
859,grattare+V
860,familiarizzare+V
861,fiaccare+V
862,impalmare+V
863,faticare+V
864,dilatare+V
865,spiarre+V
866,consacreere+V
867,conglomerare+V
868,corre+V
869,annichilare+V
870,abbozzare+V
871,ribadiere+V
872,afferrare+V
873,accoccolare+V
874,calmeere+V
875,cannoneggie+V
876,sfoltiere+V
877,collimeere+V
878,piccare+V
879,maneggione+N
880,luccicare+V
881,sfarfallare+V
882,ferere+V
883,resinare+V
884,infrangibile+A
885,ammonteere+V
886,cingeere+V
887,dimenticare+V
888,palesare+V
889,inzucchereere+V
890,autenticare+V
891,vulnero+N
892,dalmato+A
893,dichiareere+V
894,assegnare+V
895,compiarre+V
896,convenire+V
897,prelibare+V
898,matronale+A
899,lesirre+V
900,cauziorre+V
901,ossequiare+V
902,sottorappresentare+V
903,incretinere+V
904,fauno+N
905,porcellanato+A
906,cesellare+V
907,riesplodere+V
908,percolare+V
909,deificare+V
910,bulinerrre+V
911,limitare+V
912,ingemmeere+V
913,patteggiamento+N
914,rivaccinare+V
915,addurre+V
916,autotassare+V
917,asfissieere+V
918,permutare+V
919,svinare+V
920,volare+V
921,deambulazione+N
922,snellire+V
923,prezzolare+V
924,biasimevole+A
925,abboffare+V
926,smozzicare+V
927,relaziorre+V
928,rinsecchire+V
929,calendarizzare+V
930,ingioiellare+V
931,sbozzeere+V
932,inebetire+V
933,brancolare+V
934,vinificare+V
935,statico+A
936,sbaciucchiare+V
937,rogare+A
938,sgozzare+V
939,cinquanto+N
940,vistare+V
941,paganeggeere+V
942,scenico+A
943,scorrevolezza+N
944,edificare+V
945,arioso+A
946,propendere+V
947,allevare+V
948,frugare+V
949,riposare+V
950,imbatteere+V
951,sottendere+V
952,rivoluziorre+V
953,mugghieere+V
954,sgonfiare+V
955,eroere+V
956,fan+N
957,derubricare+V
958,snobbare+V
959,immobile+A
960,imbandiereere+V
961,narcotizzare+V
962,massellerrre+V
963,esternalizzare+V
964,prolifereere+V
965,investire+V
966,espirare+V
967,fiscalizzare+V
968,rifocilleere+V
969,insegnare+V
970,compire+V
971,infradiciare+V
972,psicoterapeutico+A
973,doloreere+V
974,mugolare+V
975,rifocillare+V
976,disidrateere+V
977,straboccare+V
978,sovrapporrrre+V
979,predetermirre+V
980,dardeggiare+V
981,promuovrre+V
982,sgranchire+V
983,discerrre+V
984,arrabbiare+V
985,intessere+V
986,giungere+V
987,terriessere+A
988,burlare+V
989,distendere+V
990,sanguigno+A
991,ciurleere+V
992,lesionare+V
993,accorciato+A
994,vantassessere+V
995,flotteere+V
996,pervertissessere+V
997,affastellare+V
998,adorabile+A
999,stravaccare+V
1000,investare+V
1001,porgere+A
1002,espurre+V
1003,arcaizzare+V
1004,settore+N
1005,centesimo+A
1006,leale+A
1007,canterelleere+V
1008,rinunciatario+A
1009,presupporre+V
1010,insorgere+V
1011,seghettare+V
1012,calamitare+V
1013,sfamare+V
1014,sobbarcare+V
1015,grippare+V
1016,schematizzazione+N
1017,mobiliare+A
1018,sgombrare+V
1019,accenteere+V
1020,respirre+V
1021,preavvisare+V
1022,immaturo+A
1023,pizzicotteere+V
1024,assertire+A
1025,inchinare+V
1026,sobbarcare+V
1027,esterificare+V
1028,cicloturista+N
1029,perizia+N
1030,corrodare+V
1031,ritentare+V
1032,supplementaro+N
1033,interpelle+V
1034,formalizzare+V
1035,rabbrivedere+V
1036,avvizzire+V
1037,accoere+V
1038,appagare+V
1039,smozzicare+V
1040,prepassere+V
1041,imbroglieere+V
1042,sopraelencare+V
1043,incenerere+V
1044,fegato+N
1045,dissuadeere+V
1046,gonfierrre+V
1047,carezzare+V
1048,decisione+N
1049,corrispondenzo+N
1050,peritare+V
1051,spelaccare+V
1052,abboffeere+V
1053,autoanalizzerrre+V
1054,piotare+V
1055,rieducare+V
1056,annacqueere+V
1057,fastoso+A
1058,raggruzzoleere+V
1059,costelleere+V
1060,affettare+V
1061,impiallacrre+V
1062,rastrelleere+V
1063,escrescere+A
1064,simuleere+V
1065,firmeere+V
1066,interpelleere+V
1067,abbreviare+A
1068,pioviggine+V
1069,chiame+N
1070,ricoprere+V
1071,beare+V
1072,sanguinario+A
1073,riallungare+V
1074,gerarcare+V
1075,saettare+V
1076,autoanalizzare+V
1077,raccordare+V
1078,soffietto+N
1079,iperbolico+A
1080,snobismo+N
1081,autocensurare+V
1082,straboccare+V
1083,marsalare+V
1084,denudare+V
1085,vergognare+V
1086,slanciare+V
1087,scardine+V
1088,baccagliare+V
1089,chiazzare+V
1090,invelerre+V
1091,svinare+V
1092,sbarazzerrre+V
1093,sopraffaere+V
1094,accompagnatrice+N
1095,delegare+V
1096,mascolinizzare+V
1097,frignare+V
1098,accapponare+V
1099,inventariare+A
1100,rinsaldare+V
1101,appesteere+V
1102,esagere+V
1103,trasfusione+N
1104,sobbollire+V
1105,acciaccato+A
1106,inasprere+A
1107,turlupinare+V
1108,eccedere+A
1109,dissanguare+V
1110,mobiliere+N
1111,frustssere+V
1112,sgonnellare+V
1113,serreere+V
1114,formalizzare+V
1115,biscottare+V
1116,gratuito+A
1117,flottassessere+V
1118,crocefiggrre+V
1119,ghettizzare+A
1120,tradito+A
1121,intromettrre+V
1122,addolcire+V
1123,eredità+N
1124,salare+V
1125,spanciare+V
1126,imbevere+V
1127,marchiare+V
1128,disaffezionare+V
1129,fervere+V
1130,ospiteere+V
1131,bestemmie+V
1132,bussare+V
1133,osannare+V
1134,corredare+V
1135,raffirre+V
1136,vellicare+V
1137,paninoteco+N
1138,pugnaleere+V
1139,imputare+V
1140,stoppare+V
1141,avvagliere+V
1142,balenare+V
1143,raccolto+A
1144,nettare+V
1145,percentualizzare+V
1146,risolre+V
1147,ondeggiare+V
1148,chiazzare+V
1149,dinamizzare+A
1150,comunistizzare+V
1151,complicare+V
1152,scolpare+V
1153,riscrivere+V
1154,imbrilere+V
1155,depoliticizzare+V
1156,ribattere+V
1157,peseere+V
1158,dequalifice+V
1159,disdiere+V
1160,conduttore+N
1161,piazzamento+N
1162,coalizzare+V
1163,disapprove+V
1164,ispeziorre+V
1165,strisere+V
1166,tripolare+V
1167,pecorare+V
1168,ridistribuire+V
1169,scalare+V
1170,gocrre+V
1171,alluvionato+A
1172,riammoglieere+V
1173,appurare+V
1174,illeggiadrere+A
1175,blatereere+V
1176,acchiappare+V
1177,cesellare+V
1178,riarmeere+V
1179,insanguirre+V
1180,rinsaccare+V
1181,basculeere+V
1182,autoriformare+V
1183,emofilico+A
1184,vaticinare+V
1185,intossicare+V
1186,rasciugare+V
1187,schermire+V
1188,vestizione+N
1189,celeberrimo+A
1190,diventeere+V
1191,commissarie+V
1192,feriere+V
1193,traboccare+V
1194,presentiere+V
1195,sbrigare+V
1196,infiltrassessere+V
1197,bollare+V
1198,svestiere+V
1199,leva+N
1200,storicizzare+V
1201,autotrasportatore+N
1202,contorcere+V
1203,condiziorre+V
1204,acciaiare+V
1205,allogare+V
1206,colcosiano+A
1207,anticaglio+N
1208,accasciare+V
1209,getteere+V
1210,acclamare+V
1211,registreere+V
1212,ramare+V
1213,somatizzare+V
1214,figurare+V
1215,tracimeere+V
1216,straboccare+V
1217,deputare+V
1218,screpoleere+V
1219,interagire+V
1220,magnetizzare+V
1221,feriere+V
1222,stimeere+V
1223,peggioreere+V
1224,spingere+V
1225,impaperare+V
1226,fulgere+A
1227,rateare+A
1228,scolleere+V
1229,incrostare+V
1230,gelificare+A
1231,recensire+V
1232,rodare+V
1233,paganeggiare+V
1234,satollare+V
1235,sottrarre+V
1236,copiare+V
1237,allineare+V
1238,spioveere+V
1239,strillare+V
1240,diliscare+V
1241,frinire+V
1242,tamponare+V
1243,intromettrre+V
1244,rimembrare+V
1245,ricompereere+V
1246,isoletto+N
1247,urgenzo+N
1248,autotutelare+V
1249,arrosseere+V
1250,molare+V
1251,stravincere+V
1252,ninnerrre+V
1253,crescere+V
1254,venire+V
1255,specificare+V
1256,imbiaccare+V
1257,ricomparire+V
1258,cozzare+V
1259,strideere+V
1260,originare+V
1261,contaminare+V
1262,ammainare+V
1263,ginnasiale+N
1264,panare+V
1265,telecomandeere+V
1266,scantinare+V
1267,accostumare+V
1268,scotennassessere+V
1269,circumnavigare+V
1270,spenzolare+V
1271,inauguere+V
1272,reintegreere+V
1273,spopolare+V
1274,premunire+V
1275,riconsacrare+V
1276,dorare+V
1277,zoppicare+V
1278,miserabile+A
1279,sconvolgere+V
1280,cristianizzare+V
1281,inzuccherare+V
1282,epistolare+V
1283,trarre+V
1284,resistenziale+A
1285,compagirre+V
1286,assoldassessere+V
1287,rabberciare+V
1288,pensare+V
1289,migliorare+V
1290,demonetizzeere+V
1291,realistico+A
1292,basso+N
1293,reggerrre+V
1294,alluvione+N
1295,resuscitare+V
1296,rispettare+V
1297,spocchioso+A
1298,intravedere+V
1299,congiungrre+V
1300,ambieere+V
1301,sconnetteere+V
1302,video-gioco+N
1303,congolere+V
1304,rovesce+A
1305,manualizzare+A
1306,bimbo+N
1307,rinforzare+V
1308,spruzzare+V
1309,sprintare+V
1310,arrabbieere+V
1311,esaminare+V
1312,ermafrodito+A
1313,miagolare+V
1314,desertificare+V
1315,menscevico+A
1316,ionizzare+V
1317,partecipare+V
1318,indugiare+V
1319,indisponerrre+V
1320,argomentare+V
1321,bluffare+V
1322,affissare+A
1323,protendeere+V
1324,egemonizzeere+V
1325,escutere+V
1326,disattrezzeere+V
1327,stiracchieere+V
1328,stravinsessere+V
1329,impacrre+V
1330,smarcare+V
1331,scaricare+V
1332,grippeere+V
1333,punteggiare+V
1334,sopradescrivere+V
1335,gioire+V
1336,inquieteere+V
1337,timoniero+A
1338,seminfermo+A
1339,collettività+N
1340,impiagare+V
1341,smantellare+A
1342,interagire+V
1343,riattizzeere+V
1344,girellerrre+V
1345,israelitico+A
1346,sfrattare+A
1347,nono+A
1348,donchisciottesco+A
1349,svetteere+V
1350,alierre+V
1351,fraseggiare+V
1352,tendino+N
1353,tifare+V
1354,difettare+V
1355,rachitico+A
1356,affissare+V
1357,elettronico+A
1358,ribatteere+V
1359,scolorire+V
1360,cislino+A
1361,strirre+V
1362,riseminare+V
1363,profondare+V
1364,sospendrre+V
1365,infilare+V
1366,asportare+A
1367,elidere+V
1368,rielaboreere+V
1369,enunciare+V
1370,riverire+V
1371,farmer+N
1372,sgozze+V
1373,impratichere+V
1374,consigliare+V
1375,crescere+V
1376,sgomentare+V
1377,carreggiare+V
1378,espositore+A
1379,dipinto+N
1380,mureere+V
1381,acclimatare+V
1382,bollo+N
1383,preavvisare+V
1384,illustssere+V
1385,rifransere+V
1386,autocontrolleere+V
1387,sconsigliare+V
1388,rischiarare+V
1389,assicurare+V
1390,esortare+V
1391,rivangare+V
1392,eccepiere+V
1393,plausibile+A
1394,incollerere+V
1395,ingioiellare+V
1396,stracciato+A
1397,chiazzare+V
1398,sondaggista+N
1399,conterere+V
1400,telecomandeere+V
1401,furre+V
1402,svilompere+V
1403,palliare+V
1404,estingurre+V
1405,tubolare+N
1406,ballottare+V
1407,straviziare+V
1408,inceneriere+V
1409,partiere+V
1410,strumentalizzeere+V
1411,propendere+V
1412,imperieere+V
1413,minaccioso+A
1414,sbarrare+V
1415,delibassessere+V
1416,mance+V
1417,commerrre+V
1418,disimpegrre+V
1419,arcaicizzeere+V
1420,sincerare+V
1421,atterrare+V
1422,arricciolare+V
1423,autoproclamare+A
1424,crespare+V
1425,indovirre+V
1426,stagionare+V
1427,controdeduzione+N
1428,ricostruire+V
1429,gualcirrre+V
1430,riabbattere+V
1431,denudare+V
1432,scantonare+V
1433,citare+V
1434,arioso+A
1435,palpeggiamento+N
1436,dichiareere+V
1437,accrescere+A
1438,funzionare+V
